locus_tag,5GB1_FM40_T0m_TR2,5GB1_FM40_T10m_TR3,5GB1_FM40_T20m_TR2,5GB1_FM40_T40m_TR1,5GB1_FM40_T60m_TR1,5GB1_FM40_T90m_TR2,5GB1_FM40_T150m_TR1_remake,5GB1_FM40_T180m_TR1
MBURv2_30014,49.037577129361054,35.601964258311526,40.98945339140843,36.66165552489665,39.58854208491395,35.72228755073868,32.87606924783998,34.05031212712712
MBURv2_30015,29.379021800874597,41.563613933641996,29.816980852430788,42.15887161108543,22.173390158136908,35.65514039368842,40.211064348920566,36.5686835108206
MBURv2_30016,89.40067924352161,85.05034066577768,78.87531465775054,79.76879773030228,82.8854401591716,95.5222459973063,86.6868062111824,87.269627337225
MBURv2_30017,113.66801140683482,125.46432509765903,115.81529870003834,124.201100900439,149.55870491717045,153.48418161893233,153.93864451131455,147.00738559411073
MBURv2_30018,158.17590006765752,170.59489840176417,148.48823620397238,161.40382950855064,185.79090201832773,189.90894692739974,204.33279405182225,175.16204442974325
MBURv2_30019,172.3569278984643,118.15468177882536,153.71045021778164,119.90658860319216,167.3297082455473,132.44246619029312,149.39095114150055,125.13006951821384
MBURv2_30020,63.11712610472449,64.38827406128132,53.63203378194955,57.68099147466637,59.57082156480516,72.68475033748493,72.7588823887845,63.31742592914362
MBURv2_30021,31.736597624401572,29.10852423635534,27.832344895400784,24.793359057856936,32.35601997324699,26.523127034852966,18.29482258808371,28.643457271401832
MBURv2_30022,234.54252404364885,209.13355105196837,213.1072044377392,175.0980177397503,242.0991612115892,175.15335916560494,188.69607685813804,172.44004950581012
MBURv2_30023,101.62019134988508,119.74409635691327,112.86950933866092,115.14862980826501,120.48686721495554,117.44913600573857,146.48917320854312,97.72638279602855
MBURv2_30024,105.68593807398999,93.33583479835396,96.0529797517967,94.33883817527963,96.88202353776299,96.96453370731628,104.71224738638014,91.2951217314732
MBURv2_30025,75.56557700411001,68.23579634940972,66.72701714880442,61.25084509908996,78.50429141525426,67.45946940863398,89.32775749620741,59.41253300767905
MBURv2_30026,231.45905013391743,212.34547397056411,218.16036496750462,190.04488703619384,242.01428452962443,239.23896881197942,238.5863680124977,215.47830101907132
MBURv2_30027,393.6876358882079,408.7088703474796,365.82477189727985,389.9728285066315,462.16937878277923,415.5674599380898,520.4552771058721,381.0617165418572
MBURv2_30028,566.6234004662015,572.3183688317249,526.1451781158288,541.6820571079852,665.6965615201685,620.5203077328689,744.1350823439661,551.7309176349393
MBURv2_30029,603.1572328112442,480.13285975815853,537.9292638866883,464.0059825879046,644.9488545002923,545.352084783909,561.4511170478432,488.2498797569381
MBURv2_30030,64.73633292169461,55.18382568779529,63.15235551583275,53.72209538899349,64.00383704694273,58.60541404875077,70.46777030890834,48.1969017766376
MBURv2_30031,74.63398978687152,68.73820181115236,71.88244169042174,65.72713120176887,77.67585045313864,74.14502341754687,74.92948737029214,59.489362590746836
MBURv2_30032,74.9576911368109,56.312752494631354,77.5734982407496,57.63971661466542,90.61108617026946,64.38596554539015,74.13881794239197,63.994350194932835
MBURv2_30033,105.97911973831476,91.78847078745348,96.97561889691093,96.8126942057077,81.0334488935146,82.20467706276435,96.19650376386073,89.75273251211306
MBURv2_30034,605.6789051437692,499.2097734906783,635.1635762866982,585.3784616901529,466.04233087303777,451.1778975369541,572.7250723640436,447.8987720448021
MBURv2_30035,44.35337086281623,45.88639725134387,43.66720392459601,46.5715682334678,41.740689282743425,44.1943615377893,47.38031533127563,43.27944463560875
MBURv2_30036,69.83537969060355,92.9967795117355,66.07589481128682,110.46071122309925,80.59363509247538,146.3752985042363,141.58903495776408,138.46360151605631
MBURv2_30037,181.88027264647727,198.30790591791248,209.7739236063928,242.38468484502195,298.9001128986397,358.3906521517392,314.9356951365287,277.68901297067384
MBURv2_30038,126.88188274404565,135.45156592895654,140.64334259300378,179.1455902086741,289.87570519261504,317.0675236351487,278.169084767498,229.73949191620858
MBURv2_30039,174.64196292742122,261.4334029123792,224.32851381184415,329.49226568571936,533.7623710119551,583.3063658374226,534.1116433853385,450.026955494257
MBURv2_30040,346.19666491612367,456.74823316443633,416.7825022021453,555.6419529407658,1007.9564579457231,965.279974081607,855.0408110586303,766.3233031028976
MBURv2_30041,268.548616654559,319.6177756210476,308.5847122865402,422.32562041384875,774.3655791252369,704.897585428768,732.7074353245174,550.2122875086329
MBURv2_30042,276.1396945865883,315.83442328336815,305.60720780762483,417.469378455115,824.6490046278878,677.5385835422808,682.9495210147055,566.1305136388215
MBURv2_30043,556.3731059929578,539.7810161214404,607.8416349217712,740.1636681238296,1592.3474873680707,1253.8305062280392,1336.0751945493266,1043.384583604873
MBURv2_30044,190.61389144615066,421.7537275344452,284.24234048208825,507.94450828602453,743.5087110659149,1047.639536749174,745.6798051040687,729.3047206542722
MBURv2_30045,16.516980917490756,14.755208537955271,12.456434079060493,16.25794036580783,15.616781887540025,17.20000253672062,17.181589985134877,15.646210022062194
MBURv2_30046,65.68068666977138,56.36122838829735,62.13200190795387,57.54650160392435,63.66663391142674,60.52919279073806,56.70137325729239,55.77602647175446
MBURv2_30047,45.48780911681309,42.90830119456059,45.007541918303744,44.63864930872889,44.57572743117402,41.20791833758389,45.19687838600564,42.272537575429865
